BenchmarkJoin/Join_0_0x0_tables-4         	11615760	        97.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_2x0_tables-4         	14563820	        82.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_2x0_tables-4         	14320966	        83.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_2x0_tables-4         	14037559	        85.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_2x0_tables-4         	13426066	        88.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_2x0_tables-4         	13093474	        90.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_2x0_tables-4         	13072038	        91.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_2x0_tables-4         	12847934	        93.0 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_2x0_tables-4         	12573764	        95.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_3x0_tables-4         	13713043	        87.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_3x0_tables-4         	14561563	        88.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_3x0_tables-4         	13097673	        93.0 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_3x0_tables-4         	13215583	        87.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_3x0_tables-4         	13644105	        92.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_3x0_tables-4         	13410721	        95.0 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_3x0_tables-4         	12198098	        98.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_3x0_tables-4         	11219959	        97.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_3x0_tables-4         	12289346	       103 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_4x0_tables-4         	13070872	        90.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_4x0_tables-4         	14119101	        87.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_4x0_tables-4         	14266101	        96.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_4x0_tables-4         	12669562	        92.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_4x0_tables-4         	13373271	       102 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_4x0_tables-4         	11222844	       111 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_4x0_tables-4         	11626650	       101 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_4x0_tables-4         	12996579	        95.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_4x0_tables-4         	12393486	       114 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_5x0_tables-4         	11074594	       103 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_5x0_tables-4         	12344748	        97.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_5x0_tables-4         	10948770	        97.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_5x0_tables-4         	13665259	        92.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_5x0_tables-4         	13406511	       113 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_5x0_tables-4         	10731462	        95.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_5x0_tables-4         	11247962	       128 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_5x0_tables-4         	12481819	       110 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_5x0_tables-4         	10626657	       105 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_6x0_tables-4         	13648378	       101 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_6x0_tables-4         	12642826	        97.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_6x0_tables-4         	12099156	        97.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_6x0_tables-4         	12310333	        97.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_6x0_tables-4         	11931368	        98.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_6x0_tables-4         	11545700	        99.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_6x0_tables-4         	11491604	       103 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_6x0_tables-4         	11326314	       103 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_6x0_tables-4         	10460240	       105 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_7x0_tables-4         	12780693	        92.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_7x0_tables-4         	14373145	        91.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_7x0_tables-4         	14075840	        90.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_7x0_tables-4         	11424667	        93.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_7x0_tables-4         	13445858	        89.0 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_7x0_tables-4         	12615646	        93.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_7x0_tables-4         	13211754	        95.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_7x0_tables-4         	12768451	        97.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_7x0_tables-4         	11356617	        98.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_8x0_tables-4         	13728063	        90.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_8x0_tables-4         	12812968	        85.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_8x0_tables-4         	13796028	        85.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_8x0_tables-4         	14222179	        86.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_8x0_tables-4         	12967747	        89.0 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_8x0_tables-4         	13259604	        90.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_8x0_tables-4         	13372326	        92.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_8x0_tables-4         	12835642	       102 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_8x0_tables-4         	12537043	        95.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_0x1_tables-4         	13906891	        87.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_0x1_tables-4         	14694925	        82.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_0x1_tables-4         	13943198	        85.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_0x1_tables-4         	14081586	        85.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_0x1_tables-4         	13582248	        88.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_0x1_tables-4         	13272338	        90.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_0x1_tables-4         	13029038	        91.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_0x1_tables-4         	12946436	        97.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_0x1_tables-4         	11978185	        97.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_1x1_tables-4         	13731994	        87.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_1x1_tables-4         	14576470	        82.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_1x1_tables-4         	14268320	        84.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_1x1_tables-4         	13829949	        85.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_1x1_tables-4         	13765879	        88.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_1x1_tables-4         	13374525	        90.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_1x1_tables-4         	13302296	        91.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_1x1_tables-4         	12553310	        93.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_1x1_tables-4         	12575937	        97.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_2x1_tables-4         	13778223	        87.0 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_2x1_tables-4         	14771841	        90.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_2x1_tables-4         	12862084	        88.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_2x1_tables-4         	13635127	        89.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_2x1_tables-4         	12223581	        88.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_2x1_tables-4         	13002031	        90.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_2x1_tables-4         	13126872	        91.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_2x1_tables-4         	12952486	        93.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_2x1_tables-4         	12655598	        96.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_3x1_tables-4         	13973918	        87.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_3x1_tables-4         	14660566	        82.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_3x1_tables-4         	14298656	        84.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_3x1_tables-4         	14009385	        93.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_3x1_tables-4         	11571648	        92.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_3x1_tables-4         	13220587	        92.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_3x1_tables-4         	11603605	        93.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_3x1_tables-4         	12848941	        93.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_3x1_tables-4         	12778353	        95.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_4x1_tables-4         	13307101	        87.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_4x1_tables-4         	14435527	        82.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_4x1_tables-4         	14326616	        86.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_4x1_tables-4         	11427048	        89.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_4x1_tables-4         	13706173	        95.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_4x1_tables-4         	13284782	        98.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_4x1_tables-4         	12749544	        95.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_4x1_tables-4         	12523291	        99.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_4x1_tables-4         	12701727	        99.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_5x1_tables-4         	13082820	        97.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_5x1_tables-4         	14621569	        89.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_5x1_tables-4         	 9688366	       140 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_5x1_tables-4         	11467993	        95.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_5x1_tables-4         	11903803	       108 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_5x1_tables-4         	12093452	       105 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_5x1_tables-4         	11569411	       117 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_5x1_tables-4         	10336150	       102 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_5x1_tables-4         	12426968	       106 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_6x1_tables-4         	12292552	        93.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_6x1_tables-4         	14418367	        87.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_6x1_tables-4         	14479179	        87.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_6x1_tables-4         	12222836	        91.0 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_6x1_tables-4         	12898562	        91.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_6x1_tables-4         	12315450	        94.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_6x1_tables-4         	11650144	        99.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_6x1_tables-4         	12446068	        94.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_6x1_tables-4         	12573878	        98.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_7x1_tables-4         	13827006	        87.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_7x1_tables-4         	14756628	        84.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_7x1_tables-4         	11014386	       136 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_7x1_tables-4         	12213230	        99.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_7x1_tables-4         	11188334	       101 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_7x1_tables-4         	11234362	        96.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_7x1_tables-4         	11640174	       117 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_7x1_tables-4         	11399341	        99.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_7x1_tables-4         	12201026	        97.0 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_8x1_tables-4         	13762682	        95.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_8x1_tables-4         	11164130	       163 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_2_8x1_tables-4         	12655204	        98.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_8x1_tables-4         	13115391	        95.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_4_8x1_tables-4         	11720155	       100 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_5_8x1_tables-4         	10476163	       102 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_6_8x1_tables-4         	12465027	       101 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_7_8x1_tables-4         	12859306	       102 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_8_8x1_tables-4         	12240072	       101 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_0_0x2_tables-4         	13899366	        95.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_0x2_tables-4         	 9680142	       128 ns/op	      96 B/op	       2 allocs/op
BenchmarkJoin/Join_2_0x2_tables-4         	 4665220	       268 ns/op	     128 B/op	       3 allocs/op
BenchmarkJoin/Join_3_0x2_tables-4         	 3001969	       378 ns/op	     192 B/op	       4 allocs/op
BenchmarkJoin/Join_4_0x2_tables-4         	 2887569	       423 ns/op	     192 B/op	       4 allocs/op
BenchmarkJoin/Join_5_0x2_tables-4         	 2142238	       546 ns/op	     320 B/op	       5 allocs/op
BenchmarkJoin/Join_6_0x2_tables-4         	 2044420	       633 ns/op	     320 B/op	       5 allocs/op
BenchmarkJoin/Join_7_0x2_tables-4         	 1904817	       641 ns/op	     320 B/op	       5 allocs/op
BenchmarkJoin/Join_8_0x2_tables-4         	 1704168	       679 ns/op	     320 B/op	       5 allocs/op
BenchmarkJoin/Join_0_1x2_tables-4         	13820748	        87.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_1x2_tables-4         	 7239914	       170 ns/op	     113 B/op	       4 allocs/op
BenchmarkJoin/Join_2_1x2_tables-4         	 2809694	       429 ns/op	     208 B/op	       8 allocs/op
BenchmarkJoin/Join_3_1x2_tables-4         	 1825910	       669 ns/op	     352 B/op	      11 allocs/op
BenchmarkJoin/Join_4_1x2_tables-4         	 1506024	       807 ns/op	     368 B/op	      12 allocs/op
BenchmarkJoin/Join_5_1x2_tables-4         	 1000000	      1013 ns/op	     640 B/op	      15 allocs/op
BenchmarkJoin/Join_6_1x2_tables-4         	 1000000	      1106 ns/op	     656 B/op	      16 allocs/op
BenchmarkJoin/Join_7_1x2_tables-4         	 1000000	      1202 ns/op	     672 B/op	      17 allocs/op
BenchmarkJoin/Join_8_1x2_tables-4         	  957678	      1292 ns/op	     688 B/op	      18 allocs/op
BenchmarkJoin/Join_0_2x2_tables-4         	13734958	        87.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_2x2_tables-4         	 6142304	       194 ns/op	     129 B/op	       4 allocs/op
BenchmarkJoin/Join_2_2x2_tables-4         	 2023129	       593 ns/op	     352 B/op	       9 allocs/op
BenchmarkJoin/Join_3_2x2_tables-4         	 1490348	       807 ns/op	     448 B/op	      11 allocs/op
BenchmarkJoin/Join_4_2x2_tables-4         	 1000000	      1033 ns/op	     624 B/op	      13 allocs/op
BenchmarkJoin/Join_5_2x2_tables-4         	  864739	      1384 ns/op	     976 B/op	      16 allocs/op
BenchmarkJoin/Join_6_2x2_tables-4         	  791083	      1507 ns/op	    1008 B/op	      17 allocs/op
BenchmarkJoin/Join_7_2x2_tables-4         	  674662	      1778 ns/op	    1328 B/op	      19 allocs/op
BenchmarkJoin/Join_8_2x2_tables-4         	  647049	      1913 ns/op	    1360 B/op	      20 allocs/op
BenchmarkJoin/Join_0_3x2_tables-4         	13744702	        87.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_3x2_tables-4         	 6035191	       198 ns/op	     145 B/op	       4 allocs/op
BenchmarkJoin/Join_2_3x2_tables-4         	 1851177	       664 ns/op	     432 B/op	       9 allocs/op
BenchmarkJoin/Join_3_3x2_tables-4         	 1000000	      1093 ns/op	     928 B/op	      13 allocs/op
BenchmarkJoin/Join_4_3x2_tables-4         	  980995	      1239 ns/op	     976 B/op	      14 allocs/op
BenchmarkJoin/Join_5_3x2_tables-4         	  805732	      1516 ns/op	    1152 B/op	      16 allocs/op
BenchmarkJoin/Join_6_3x2_tables-4         	  656656	      1776 ns/op	    1520 B/op	      18 allocs/op
BenchmarkJoin/Join_7_3x2_tables-4         	  528710	      2130 ns/op	    1952 B/op	      20 allocs/op
BenchmarkJoin/Join_8_3x2_tables-4         	  552226	      2267 ns/op	    2000 B/op	      21 allocs/op
BenchmarkJoin/Join_0_4x2_tables-4         	13568995	        88.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_4x2_tables-4         	 5998916	       202 ns/op	     161 B/op	       4 allocs/op
BenchmarkJoin/Join_2_4x2_tables-4         	 1809554	       686 ns/op	     512 B/op	       9 allocs/op
BenchmarkJoin/Join_3_4x2_tables-4         	 1000000	      1144 ns/op	    1120 B/op	      13 allocs/op
BenchmarkJoin/Join_4_4x2_tables-4         	  917580	      1317 ns/op	    1184 B/op	      14 allocs/op
BenchmarkJoin/Join_5_4x2_tables-4         	  754141	      1605 ns/op	    1376 B/op	      16 allocs/op
BenchmarkJoin/Join_6_4x2_tables-4         	  610852	      1961 ns/op	    1856 B/op	      18 allocs/op
BenchmarkJoin/Join_7_4x2_tables-4         	  522844	      2305 ns/op	    2400 B/op	      20 allocs/op
BenchmarkJoin/Join_8_4x2_tables-4         	  460298	      2809 ns/op	    3040 B/op	      22 allocs/op
BenchmarkJoin/Join_0_5x2_tables-4         	13785375	        91.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_5x2_tables-4         	 5880590	       205 ns/op	     177 B/op	       4 allocs/op
BenchmarkJoin/Join_2_5x2_tables-4         	 1700922	       705 ns/op	     592 B/op	       9 allocs/op
BenchmarkJoin/Join_3_5x2_tables-4         	 1000000	      1227 ns/op	    1312 B/op	      13 allocs/op
BenchmarkJoin/Join_4_5x2_tables-4         	  830120	      1455 ns/op	    1392 B/op	      14 allocs/op
BenchmarkJoin/Join_5_5x2_tables-4         	  461683	      2183 ns/op	    2752 B/op	      18 allocs/op
BenchmarkJoin/Join_6_5x2_tables-4         	  507415	      2414 ns/op	    2832 B/op	      19 allocs/op
BenchmarkJoin/Join_7_5x2_tables-4         	  484908	      2564 ns/op	    2912 B/op	      20 allocs/op
BenchmarkJoin/Join_8_5x2_tables-4         	  430921	      2830 ns/op	    2992 B/op	      21 allocs/op
BenchmarkJoin/Join_0_6x2_tables-4         	13488547	        87.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_6x2_tables-4         	 5663418	       214 ns/op	     193 B/op	       4 allocs/op
BenchmarkJoin/Join_2_6x2_tables-4         	 1618970	       737 ns/op	     672 B/op	       9 allocs/op
BenchmarkJoin/Join_3_6x2_tables-4         	  925053	      1332 ns/op	    1504 B/op	      13 allocs/op
BenchmarkJoin/Join_4_6x2_tables-4         	  796207	      1548 ns/op	    1600 B/op	      14 allocs/op
BenchmarkJoin/Join_5_6x2_tables-4         	  513649	      2328 ns/op	    3168 B/op	      18 allocs/op
BenchmarkJoin/Join_6_6x2_tables-4         	  477760	      2552 ns/op	    3264 B/op	      19 allocs/op
BenchmarkJoin/Join_7_6x2_tables-4         	  403099	      2770 ns/op	    3360 B/op	      20 allocs/op
BenchmarkJoin/Join_8_6x2_tables-4         	  405358	      2987 ns/op	    3456 B/op	      21 allocs/op
BenchmarkJoin/Join_0_7x2_tables-4         	13336789	        87.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_7x2_tables-4         	 5607742	       216 ns/op	     209 B/op	       4 allocs/op
BenchmarkJoin/Join_2_7x2_tables-4         	 1539321	       773 ns/op	     752 B/op	       9 allocs/op
BenchmarkJoin/Join_3_7x2_tables-4         	  842128	      1417 ns/op	    1696 B/op	      13 allocs/op
BenchmarkJoin/Join_4_7x2_tables-4         	  738316	      1641 ns/op	    1808 B/op	      14 allocs/op
BenchmarkJoin/Join_5_7x2_tables-4         	  478435	      2532 ns/op	    3584 B/op	      18 allocs/op
BenchmarkJoin/Join_6_7x2_tables-4         	  448160	      2761 ns/op	    3696 B/op	      19 allocs/op
BenchmarkJoin/Join_7_7x2_tables-4         	  405030	      3023 ns/op	    3808 B/op	      20 allocs/op
BenchmarkJoin/Join_8_7x2_tables-4         	  364111	      3253 ns/op	    3920 B/op	      21 allocs/op
BenchmarkJoin/Join_0_8x2_tables-4         	13725140	        87.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_8x2_tables-4         	 5427458	       220 ns/op	     225 B/op	       4 allocs/op
BenchmarkJoin/Join_2_8x2_tables-4         	 1478748	       805 ns/op	     832 B/op	       9 allocs/op
BenchmarkJoin/Join_3_8x2_tables-4         	  820052	      1473 ns/op	    1888 B/op	      13 allocs/op
BenchmarkJoin/Join_4_8x2_tables-4         	  618960	      1719 ns/op	    2016 B/op	      14 allocs/op
BenchmarkJoin/Join_5_8x2_tables-4         	  446017	      2626 ns/op	    4000 B/op	      18 allocs/op
BenchmarkJoin/Join_6_8x2_tables-4         	  416880	      3124 ns/op	    4128 B/op	      19 allocs/op
BenchmarkJoin/Join_7_8x2_tables-4         	  381810	      3165 ns/op	    4256 B/op	      20 allocs/op
BenchmarkJoin/Join_8_8x2_tables-4         	  349704	      3442 ns/op	    4384 B/op	      21 allocs/op
BenchmarkJoin/Join_0_0x3_tables-4         	13566559	        87.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_0x3_tables-4         	 7884586	       152 ns/op	     112 B/op	       2 allocs/op
BenchmarkJoin/Join_2_0x3_tables-4         	 3816739	       314 ns/op	     176 B/op	       3 allocs/op
BenchmarkJoin/Join_3_0x3_tables-4         	 2497042	       485 ns/op	     304 B/op	       4 allocs/op
BenchmarkJoin/Join_4_0x3_tables-4         	 2153292	       557 ns/op	     304 B/op	       4 allocs/op
BenchmarkJoin/Join_5_0x3_tables-4         	 1574164	       762 ns/op	     560 B/op	       5 allocs/op
BenchmarkJoin/Join_6_0x3_tables-4         	 1438489	       854 ns/op	     560 B/op	       5 allocs/op
BenchmarkJoin/Join_7_0x3_tables-4         	 1312719	       910 ns/op	     560 B/op	       5 allocs/op
BenchmarkJoin/Join_8_0x3_tables-4         	 1219870	       985 ns/op	     560 B/op	       5 allocs/op
BenchmarkJoin/Join_0_1x3_tables-4         	13795172	        88.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_1x3_tables-4         	 5356479	       223 ns/op	     146 B/op	       4 allocs/op
BenchmarkJoin/Join_2_1x3_tables-4         	 2071980	       620 ns/op	     320 B/op	       9 allocs/op
